date, pm25, pm10, o3, no2, so2, co
2020/6/15, 71, 19, 47, 9, 1, 2
2020/6/16, 53, 9, 40, 8, 1, 1
2020/6/17, 41, 15, 35, 10, 1, 2
2020/6/18, 37, 8, 34, 7, , 1
2020/6/19, 22, 8, 44, 10, 1, 3
2020/6/20, 58, 9, 28, 5, 1, 1
2020/6/21, 34, 10, 24, 6, , 1
2020/6/22, 18, 13, 29, 14, 1, 3
2020/6/23, 37, 13, 21, 8, 1, 1
2020/6/24, 30, , 14, 9, 1, 2
2020/6/26, 78, 40, 44, 17, 2, 3
2020/6/27, 66, 17, 34, 9, 1, 2
2020/6/28, 35, 12, 45, 9, 1, 2
2020/6/29, 54, 19, 28, 10, 1, 2
2020/6/30, 41, 16, 17, 2, , 1
2020/1/1, 22, 6, 22, 12, 1, 3
2020/1/2, 27, 7, 17, 16, 1, 3
2020/1/3, 31, 8, 27, 10, 1, 2
2020/1/4, 24, 5, 28, 5, , 1
2020/1/5, 19, 6, 24, 9, 1, 2
2020/1/6, 22, 11, 15, 19, , 3
2020/1/7, 37, 14, 10, 20, , 4
2020/1/8, 45, 9, 25, 15, 1, 3
2020/1/9, 29, 7, 22, 14, 1, 2
2020/1/10, 21, 13, 11, 22, 1, 3
2020/1/11, 37, 14, 21, 15, 1, 3
2020/1/12, 43, 16, 22, 19, 1, 3
2020/1/13, 49, 8, 18, 20, 2, 3
2020/1/14, 31, 12, 20, 21, , 4
2020/1/15, 43, 6, 19, 19, 1, 2
2020/1/16, 18, 9, 21, 19, 1, 2
2020/1/17, 32, 7, 24, 9, , 
2020/1/18, 20, 8, 26, 12, 1, 3
2020/1/19, 32, 12, 17, 27, 2, 5
2020/1/20, 36, 6, 27, 13, 1, 2
2020/1/22, 67, 24, 8, 32, , 4
2020/1/23, 63, 20, 27, 28, 2, 5
2020/1/24, 51, 8, 27, 11, 2, 2
2020/1/25, 25, 8, 20, 12, 1, 3
2020/1/26, 27, 14, 23, 23, 1, 3
2020/1/27, 52, 4, 17, 15, , 2
2020/1/28, 16, 7, 21, 21, 1, 3
2020/1/29, 10, 6, 22, 19, 1, 3
2020/1/30, 44, 5, 24, 10, 1, 2
2020/1/31, 21, 4, 28, 6, 1, 2
2020/2/1, 28, 6, 32, 5, 2, 3
2020/2/2, 30, 13, 25, 20, 1, 3
2020/2/3, 45, 7, 22, 14, 1, 3
2020/2/4, 25, 9, 29, 14, 1, 3
2020/2/5, 32, 4, 24, 7, , 
2020/2/6, 24, 13, 19, 27, 4, 4
2020/2/7, 38, 9, 28, 18, 1, 3
2020/2/8, 50, 4, 29, 2, , 2
2020/2/9, 19, 11, 21, 24, , 4
2020/2/10, 34, 5, 30, 8, , 2
2020/2/11, 30, 13, 21, 23, , 3
2020/2/12, 47, 28, 9, 44, 1, 5
2020/2/13, 65, 14, 9, 30, 1, 4
2020/2/14, 37, 14, 20, 24, 4, 4
2020/2/15, 46, 28, 17, 18, 1, 4
2020/2/16, 57, 11, 17, 14, , 3
2020/2/17, 42, 5, 25, 8, , 2
2020/2/18, 29, 7, 24, 15, , 3
2020/2/19, 23, 11, 27, 21, , 2
2020/2/20, 36, 10, 27, 15, 2, 3
2020/2/21, 34, 16, 34, 14, , 2
2020/2/22, 46, 11, 32, 4, , 2
2020/2/23, 39, 14, 30, 11, 1, 3
2020/2/24, 48, 25, 26, 30, 3, 4
2020/2/25, 67, 15, 23, 13, , 3
2020/2/26, 45, 5, 27, 12, , 3
2020/2/27, 29, 6, 22, 14, 1, 3
2020/2/28, 33, 11, 22, 19, 1, 2
2020/2/29, 36, 11, 33, 11, 2, 2
2020/3/1, 42, 12, 25, 12, 1, 2
2020/3/2, 37, 6, 28, 13, 1, 2
2020/3/3, 19, 13, 21, 15, 1, 2
2020/3/4, 31, 9, 33, 9, 1, 2
2020/3/5, 25, 9, 33, 8, 1, 2
2020/3/6, 41, 8, 28, 11, , 2
2020/3/7, 32, 11, 27, 7, , 2
2020/3/8, 33, 8, 24, 12, 1, 2
2020/3/9, 42, 13, 26, 20, 1, 3
2020/3/10, 29, 11, 32, 12, 1, 3
2020/3/11, 29, 7, 31, 12, 1, 2
2020/3/12, 43, 13, 35, 17, 1, 3
2020/3/13, 42, 10, 30, 9, 1, 2
2020/3/14, 21, 7, 32, 9, 1, 2
2020/3/15, 37, 6, 30, 12, 1, 2
2020/3/16, 34, 15, 28, 13, 1, 3
2020/3/17, 32, 13, 36, 18, 1, 3
2020/3/18, 41, 15, 35, 17, 2, 2
2020/3/19, 59, 7, 32, 5, , 2
2020/3/20, 35, 12, 32, 16, 1, 3
2020/3/21, 50, 19, 50, 14, 1, 4
2020/3/22, 67, 12, 36, 10, 1, 2
2020/3/23, 29, 8, 33, 6, 1, 2
2020/3/24, 33, 9, 32, 11, 1, 3
2020/3/25, 35, 11, 30, 24, 1, 3
2020/3/26, 52, 16, 33, 21, 1, 4
2020/3/27, 56, 14, 31, 8, , 2
2020/3/28, 51, 5, 26, 6, , 2
2020/3/29, 16, 10, 23, 14, 1, 2
2020/3/30, 35, 14, 16, 18, 1, 2
2020/3/31, 43, 14, 22, 15, , 2
